,theta mu pop rise,theta var pop rise,theta mu pop fall,theta var pop fall,theta mu first rise,theta var first rise,theta mu first fall,theta var first fall,theta mu last rise,theta var last rise,theta mu last fall,theta var last fall,theta delay (ps),m,n,c,ps_bumps
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2211.538461538458,52,2,13,809
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222.22222222222,36,2,9,560
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2232.1428571428564,56,2,14,871
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2249.999999999997,60,2,15,933
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2265.625000000005,64,2,16,995
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272.7272727272707,44,2,11,684
6,0.0,0.0,0.2470703125,0.18602657318115234,0.0,0.0,0.2470703125,0.18602657318115234,0.0,0.0,0.2470703125,0.18602657318115234,2291.6666666666624,48,2,12,746
7,0.0,0.0,0.4228515625,0.2440481185913086,0.0,0.0,0.4228515625,0.2440481185913086,0.0,0.0,0.4228515625,0.2440481185913086,2307.692307692306,52,2,13,808
8,0.0,0.0,1.0458984375,0.0769948959350586,0.0,0.0,1.0458984375,0.0769948959350586,0.0,0.0,1.0458984375,0.0769948959350586,2321.428571428572,56,2,14,870
9,0.0,0.0,1.2431640625,0.1840353012084961,0.0,0.0,1.2431640625,0.1840353012084961,0.0,0.0,1.2431640625,0.1840353012084961,2333.333333333341,60,2,15,932
10,0.0,0.0,1.6669921875,0.22211360931396484,0.0,0.0,1.6669921875,0.22211360931396484,0.0,0.0,1.6669921875,0.22211360931396484,2343.750000000004,64,2,16,994
11,0.0,0.0,1.6748046875,0.21944332122802734,0.0,0.0,1.6748046875,0.21944332122802734,0.0,0.0,1.6748046875,0.21944332122802734,2361.1111111111177,36,2,9,559
12,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2375.0000000000064,40,2,10,621
13,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2386.3636363636365,44,2,11,683
14,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2395.833333333333,48,2,12,745
15,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2403.8461538461543,52,2,13,807
